片名,上映年份,评分,评价人数,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长
黑客帝国3：矩阵革命,2003,8.8,441626,拉娜·沃卓斯基 / 莉莉·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 贾达·萍克·史密斯 / 凯特·宾汉 / 玛丽·爱丽丝 / 莫妮卡·贝鲁奇 / 埃茜·戴维斯 / 克里斯托弗·卡比 / 罗伯特·马莫内 / 罗宾·奈文 / 吉娜薇·欧瑞丽 / 诺娜·加耶 / 纳撒尼尔·利斯 / 哈里·列尼斯 / 哈罗德·佩里诺 / 鲁伯特·雷德 / 凯文·迈克尔·理查德森 / 大卫·罗伯茨 / 布鲁斯·斯宾斯 / 吉娜·托瑞斯 / 克莱顿·华生 / 赫尔穆特·巴凯蒂斯 / 邹兆龙 / 乔·曼宁 / Tanveer K. Atwal / 拉黑·休姆 / 康奈尔·韦斯特 / 伯纳德·怀特 / 朗贝尔·维尔森 / 安东尼·布兰登·黄 / 安东尼·泽比 / 克雷格·沃克,动作 / 科幻,美国,英语 / 法语,2003-11-05(美国/中国大陆),129 分钟
你的名字。,2016,8.5,1389433,新海诚,新海诚,神木隆之介 / 上白石萌音 / 长泽雅美 / 市原悦子 / 成田凌 / 悠木碧 / 岛崎信长 / 石川界人 / 谷花音 / 寺杣昌纪 / 大原沙耶香 / 井上和彦 / 茶风林 / 加藤有花 / 花泽香菜 / 寺崎裕香,剧情 / 爱情 / 动画,www.kiminona.com,日本,日语,2016-12-02(中国大陆) / 2016-08-26(日本)
电锯惊魂,2004,8.8,524594,温子仁,温子仁 / 雷·沃纳尔,雷·沃纳尔 / 加利·艾尔维斯 / 丹尼·格洛弗 / 梁振邦 / 迪娜·迈耶 / 迈克·巴特斯 / 保罗·古德勒支 / 迈克尔·爱默生 / 本尼托·马丁内斯 / 肖妮·史密斯 / 麦肯兹·韦加 / 莫妮卡·波特 / 耐德·巴拉米 / 亚丽姗德拉·全 / 托宾·贝尔,悬疑 / 惊悚 / 恐怖,美国,英语,2004-01-19(圣丹斯电影节) / 2004-10-29(美国),103分钟
三块广告牌,2017,8.7,811265,马丁·麦克唐纳,马丁·麦克唐纳,弗兰西斯·麦克多蒙德 / 伍迪·哈里森 / 山姆·洛克威尔 / 艾比·考尼什 / 卢卡斯·赫奇斯 / 彼特·丁拉基 / 约翰·浩克斯 / 卡赖伯·兰德里·琼斯 / 凯瑟琳·纽顿 / 凯瑞·康顿 / 泽利科·伊万内克 / 萨玛拉·维文 / 克拉克·彼得斯 / 尼克·瑟西 / 阿曼达·沃伦 / 玛拉雅·瑞沃拉·德鲁 / 布兰登·萨克斯顿 / 迈克尔·艾伦·米利甘,剧情 / 犯罪,英国 / 美国,英语,2018-03-02(中国大陆) / 2017-09-04(威尼斯电影节) / 2017-12-01(美国),115分钟
达拉斯买家俱乐部,2013,8.8,447043,让-马克·瓦雷,克莱格·鲍登 / 梅丽莎·沃雷克,马修·麦康纳 / 詹妮弗·加纳 / 杰瑞德·莱托 / 斯蒂夫·扎恩 / 达拉斯·罗伯特斯 / 凯文·兰金 / 丹尼斯·欧哈拉 / 简·麦克尼尔 / 格里芬·邓恩 / 詹姆斯·杜蒙特 / 朱丽叶·里夫斯 / 斯蒂菲·格罗特 / J·D·埃弗摩尔,剧情 / 同性 / 传记,美国,英语 / 日语,2013-09-07(多伦多电影节) / 2013-11-22(美国),117分钟
疯狂原始人,2013,8.7,828726,柯克·德·米科 / 克里斯·桑德斯,克里斯·桑德斯 / 柯克·德·米科 / 约翰·克里斯,尼古拉斯·凯奇 / 艾玛·斯通 / 瑞安·雷诺兹 / 凯瑟琳·基纳 / 克萝丽丝·利奇曼 / 克拉克·杜克 / 克里斯·桑德斯 / 兰迪·汤姆,喜剧 / 动画 / 冒险,美国,英语,2013-04-20(中国大陆) / 2013-02-15(柏林电影节) / 2013-03-22(美国),98分钟
心迷宫,2014,8.7,513112,忻钰坤,忻钰坤 / 冯元良 / 鲁妮凡,霍卫民 / 王笑天 / 罗芸 / 杨瑜珍 / 孙黎 / 邵胜杰 / 曹西安 / 贾致钢 / 朱自清 / 王梓尘 / 赵梓彤 / 贾世忠 / 袁满 / 陈梅生 / 张景素 / 平坦 / 金子 / 张建军,剧情 / 悬疑 / 犯罪,中国大陆,汉语普通话,2015-10-16(中国大陆) / 2014-07-21(FIRST青年影展) / 2014-08-28(威尼斯电影节),110分钟(中国大陆) / 119分钟(威尼斯电影节)
谍影重重3,2007,8.8,412797,保罗·格林格拉斯,托尼·吉尔罗伊 / 斯科特·Z·本恩斯 / 乔治·诺非 / 罗伯特·鲁德鲁姆,马特·达蒙 / 朱丽娅·斯蒂尔斯 / 大卫·斯特雷泽恩 / 斯科特·格伦 / 帕迪·康斯戴恩 / 埃德加·拉米雷兹 / 阿尔伯特·芬尼 / 琼·艾伦 / Tom Gallop / 克里·约翰逊 / 丹尼尔·布鲁赫 / 乔伊·安沙 / 科林·斯廷顿 / 丹·弗雷登堡 / Lucy Liemann,动作 / 悬疑 / 惊悚,美国 / 德国 / 法国 / 英国,英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,2007-11-15(中国大陆) / 2007-08-03(美国),115分钟
上帝之城,2002,9.0,298453,费尔南多·梅里尔斯 / 卡迪亚·兰德,保罗·林斯 / 布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森 / 道格拉斯·席尔瓦 / 乔纳森·哈根森 / 马修斯·纳克加勒 / 塞乌·乔奇 / 艾莉丝·布拉加,剧情 / 犯罪,巴西 / 法国,葡萄牙语,2002-05-18(戛纳电影节) / 2002-08-30(巴西),130分钟
英雄本色,1986,8.6,532577,吴宇森,陈庆嘉 / 吴宇森 / 梁淑华,周润发 / 狄龙 / 张国荣 / 朱宝意 / 李子雄 / 田丰 / 吴宇森 / 曾江 / 成奎安 / 徐克 / 陈志辉,剧情 / 动作 / 犯罪,中国香港,粤语 / 汉语普通话 / 英语,2017-11-17(中国大陆) / 1986-08-02(中国香港),95分钟
卢旺达饭店,2004,8.9,325674,特瑞·乔治,凯尔·皮尔森 / 特瑞·乔治,唐·钱德尔 / 苏菲·奥康内多 / 华金·菲尼克斯 / 尼克·诺特 / 哈基姆·凯-卡西姆 / 托尼·戈罗奇 / 法纳·莫科纳 / 大卫·奥哈拉 / 莫苏西·麦格诺 / 西莫·莫加瓦扎 / 卡拉·西摩 / 罗伯托·西特兰 / 德斯蒙德·杜布 / 蕾乐蒂·库马洛,剧情 / 传记 / 历史 / 战争,www.mgm.com/ua/hotelrwanda/main.html,英国 / 南非 / 意大利 / 美国,英语 / 法语,2004-09-11(多伦多电影节) / 2005-03-04(英国)
纵横四海,1991,8.8,419622,吴宇森,吴宇森 / 高志森 / 秦小珍,周润发 / 张国荣 / 钟楚红 / 朱江 / 曾江 / 胡枫 / 唐宁 / 邓一君,剧情 / 喜剧 / 动作 / 犯罪,中国香港,粤语 / 汉语普通话 / 客家话 / 英语 / 法语,1991-02-02(中国香港),108分钟
风之谷,1984,8.9,350395,宫崎骏,宫崎骏,岛本须美 / 松田洋治 / 榊原良子 / 辻村真人 / 京田尚子 / 纳谷悟朗 / 永井一郎 / 宫内幸平 / 八奈见乘儿 / 矢田稔 / 富永美伊奈 / 家弓家正 / 吉田理保子 / 菅谷政子 / 坂本千夏 / 鳕子 / 麦人 / 大塚芳忠,动画 / 奇幻 / 冒险,日本,日语,1992-05(中国大陆) / 1984-03-11(日本),117分钟
海街日记,2015,8.8,441709,是枝裕和,是枝裕和 / 吉田秋生,绫濑遥 / 长泽雅美 / 夏帆 / 广濑铃 / 大竹忍 / 堤真一 / 加濑亮 / 风吹淳 / 中川雅也 / 前田旺志郎 / 铃木亮平 / 坂口健太郎 / 树木希林,剧情 / 家庭,umimachi.gaga.ne.jp,日本,日语,2015-05-14(戛纳电影节) / 2015-06-13(日本)
爱在午夜降临前,2013,8.9,395578,理查德·林克莱特,理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑,伊桑·霍克 / 朱莉·德尔佩 / 肖姆斯·戴维-菲茨帕特里克 / 詹妮弗·普里尔 / 夏洛特·普里尔 / 仙尼娅·卡洛格罗普卢 / 沃尔特·拉萨利 / 亚里安妮·拉贝德 / 雅尼斯·帕帕多普洛斯 / 阿赛娜·拉海尔·灿加里 / 帕诺斯·科罗尼斯 / 约塔·阿吉罗普卢 / 约翰·斯洛斯,剧情 / 爱情,www.sonyclassics.com/beforemidnight/,美国 / 希腊,英语 / 希腊语 / 法语,2013-06-14(美国)
绿里奇迹,1999,8.9,324431,弗兰克·德拉邦特,弗兰克·德拉邦特,汤姆·汉克斯 / 大卫·摩斯 / 迈克·克拉克·邓肯 / 邦尼·亨特 / 詹姆斯·克伦威尔 / 迈克尔·杰特 / 格雷厄姆·格林 / 道格·休切逊 / 山姆·洛克威尔 / 巴里·佩珀 / 杰弗里·德曼 / 派翠西娅·克拉克森 / 哈利·戴恩·斯坦通 / 戴布思·格里尔 / 伊芙·布伦特,剧情 / 悬疑 / 犯罪 / 奇幻,https://www.warnerbros.com/movies/green-mile/,美国,英语 / 法语,1999-12-10(美国)
记忆碎片,2000,8.7,593362,克里斯托弗·诺兰,克里斯托弗·诺兰 / 乔纳森·诺兰,盖·皮尔斯 / 凯瑞-安·莫斯 / 乔·潘托里亚诺 / 小马克·布恩 / 拉什·费加 / 乔雅·福克斯 / 斯蒂芬·托布罗斯基 / 哈里特·桑塞姆·哈里斯 / 托马斯·列农 / 考乐姆·吉斯·雷尼 / 金伯利·坎贝尔 / 玛丽安妮·穆勒雷尔 / 拉里·霍尔登,剧情 / 悬疑 / 惊悚 / 犯罪,美国,英语,2000-09-05(威尼斯电影节) / 2000-10-20(英国) / 2001-05-25(美国),113分钟
岁月神偷,2010,8.7,569571,罗启锐,罗启锐 / 张婉婷,吴君如 / 任达华 / 钟绍图 / 李治廷 / 蔡颖恩 / 秦沛 / 夏萍 / 谷德昭 / 许鞍华 / 张同祖 / 庄域飞 / 威廉希路 / 李健兴 / 林耀祺 / 廖爱玲 / 张翼东 / 钱耀荣 / 谭瓒强 / 陈庆航 / 黎祥荣,剧情 / 家庭,中国香港 / 中国大陆,粤语 / 汉语普通话 / 英语 / 上海话 / 法语,2010-04-16(中国大陆) / 2010-03-11(中国香港) / 2010-02-14(柏林电影节),117分钟 / 120分钟(柏林电影节)
忠犬八公物语,1987,9.2,193308,神山征二郎,新藤兼人,仲代达矢 / 八千草薰 / 柳叶敏郎 / 尾美利德 / 石野真子 / 春川真澄 / 殿山泰司 / 加藤嘉 / 井川比佐志 / 山本圭 / 片桐入 / 浦边粂子 / 高桥长英 / 石仓三郎 / 岸部四郎 / 樋浦勉 / 原知佐子 / 早川纯一 / 川上夏代 / 青木卓 / 野口文惠 / 黑田亚瑟 / 中村美代子 / 原吉实 / 松尾麻织 / 平林尚三 / 田山真美子 / 及川以造 / 古田将士 / 吉冈圭二 / 松本诚一 / 坂井茂树 / 三浦忠度 / 竹田光裕 / 小岛敏彦 / 高崎隆二 / 小山昌幸 / 秋山京子 / 庄司秀俊 / 藤原等 / 西海真理 / 小山内一雄 / 田中孝雄 / 荒木瞳 / 天野良昭 / 八木邦明 / 神田典子 / 大辉昭 / 高桥正明 / 中濑博文 / 菊川予市 / 太田行雄 / 高市好行 / 木津修 / 山下一夫 / 细见良行 / 山口晴记 / 千叶康司 / 谷津勋 / 难波透 / 和气秀章 / 小野一光 / 山科薰 / 内田修司 / 三上祐 / 作原利男 / 岩庭友启 / 石田哲也 / 门平克己 / 佐藤法义 / 上山隆 / 小玉赖信 / 寺坂博文 / 竹原升 / 三木纪平 / 泉谷茂 / 菅井琴 / 加藤登纪子 / 长门裕之 / 山城新伍 / 田村高广,剧情,日本,日语,2023(中国大陆) / 1987-08-01(日本),107 分钟
疯狂的石头,2006,8.6,809697,宁浩,张承 / 宁浩 / 岳小军,郭涛 / 刘桦 / 连晋 / 黄渤 / 徐峥 / 岳小军 / 罗兰 / 王迅,喜剧 / 犯罪,中国大陆 / 中国香港,汉语普通话 / 重庆话,2006-06-30(中国大陆) / 2006-08-10(中国香港),106分钟(香港) / 98分钟(中国大陆)
荒蛮故事,2014,8.8,438047,达米安·斯兹弗隆,达米安·斯兹弗隆,达里奥·格兰迪内蒂 / 玛丽娅·玛努尔 / 莫妮卡·比利亚 / 丽塔·科尔泰塞 / 胡丽叶塔·泽尔贝伯格 / 凯撒·博尔东 / 莱昂纳多·斯巴拉格利亚 / 沃尔特·多纳多 / 里卡多·达林 / 南希·杜普拉 / 奥斯卡·马丁内兹 / 玛莉亚·奥内托 / 奥斯马·努涅斯 / 赫尔曼·德·席尔瓦 / 艾丽卡·里瓦斯 / 地亚哥·詹蒂莱 / 玛格丽塔·莫菲诺,剧情 / 喜剧 / 犯罪,阿根廷 / 西班牙,西班牙语,2014-05-17(戛纳电影节) / 2014-08-21(阿根廷),122分钟
雨中曲,1952,9.1,221364,斯坦利·多南 / 吉恩·凯利,贝蒂·康登 / 阿多夫·格林,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯 / 简·哈根 / 米勒德·米切尔 / 赛德·查里斯 / 达格拉斯·福雷 / 丽塔·莫雷诺 / 道恩·艾达丝 / John Albright / Betty Allen / Bette Arlen / David Bair / 玛格丽特·伯特 / Madge Blake / Gail Bonney / Chet Brandenburg / 梅·克拉克 / Harry Cody / Chick Collins / Pat Conway / Jeanne Coyne / Fred Datig Jr. / 凯·德利斯 / John Dodsworth / 金·多诺万 / Phil Dunham / 海伦·艾比罗克 / Richard Emory / Tommy Farrell / Ernie Flatt / 贝丝·弗劳尔斯 / 罗伯特·福捷 / Dan Foster / Robert Foulk / Eric Freeman / 凯瑟琳·弗里曼 / 兰斯·富勒 / 杰克·乔治 / John George / Inez Gorman / A. Cameron Grant / Beatrice Gray / William Hamel / 山姆·哈里斯 / Timmy Hawkins / Jean Heremans / 斯图尔特·霍姆斯 / 肯纳G.肯普 / 迈克·拉里 / 乔伊·兰辛 / William F. Leicester / Sylvia Lewis,喜剧 / 爱情 / 歌舞,美国,英语,1952-04-11(美国),103分钟
小偷家族,2018,8.7,804073,是枝裕和,是枝裕和,中川雅也 / 安藤樱 / 松冈茉优 / 城桧吏 / 佐佐木美结 / 树木希林 / 绪形直人 / 池松壮亮 / 森口瑶子 / 山田裕贵 / 片山萌美 / 柄本明 / 高良健吾 / 池胁千鹤 / 足立智充,剧情 / 家庭 / 犯罪,gaga.ne.jp/manbiki-kazoku/,日本,日语,2018-08-03(中国大陆) / 2018-05-13(戛纳电影节) / 2018-06-08(日本)
2001太空漫游,1968,8.9,321801,斯坦利·库布里克,亚瑟·克拉克 / 斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特 / 丹尼尔·里希特 / 雷纳德·洛塞特 / 罗伯特·比提 / 肖恩·沙利文 / 艾德·毕肖普 / 格伦·贝克 / 艾伦·吉福德 / 安·吉利斯,科幻 / 惊悚 / 冒险,英国 / 美国,英语 / 俄语,1968-04-02(华盛顿首映) / 1968-05-12(英国),149分钟
爆裂鼓手,2014,8.7,580318,达米恩·查泽雷,达米恩·查泽雷,迈尔斯·特勒 / J·K·西蒙斯 / 保罗·雷瑟 / 梅莉莎·班诺伊 / 奥斯汀·斯托维尔 / 内特·朗 / 克里斯·马尔基 / 达蒙·冈普顿 / Suanne Spoke / 马科斯·卡锡 / Charlie Ian / 杰森·布莱尔 / 科菲·斯里博伊 / 卡维塔帕蒂尔 / C.J. Vana / 塔里克·洛维 / 卡尔文·C·温布什 / 迈克尔·D·科恩 / 艾普尔·格雷斯 / 马库斯·亨德森 / 亨利·G.桑德斯 / 温迪·李 / 米歇尔·拉夫,剧情 / 音乐,美国,英语,2014-01-16(圣丹斯电影节) / 2014-10-10(美国),107分钟
小丑,2019,8.7,991907,托德·菲利普斯,托德·菲利普斯 / 斯科特·西尔弗 / 鲍勃·凯恩 / 比尔·芬格 / 杰瑞·罗宾逊,华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙 / 莎姬·贝兹 / 谢伊·惠格姆 / 弗兰西丝·康罗伊 / 布莱恩·考伦 / 布莱恩·泰里·亨利 / 布莱特·卡伦 / 道格拉斯·霍奇斯 / 格伦·弗莱舍尔 / 比尔·坎普 / 乔什·帕斯 / 但丁·佩雷拉-奥尔森 / 玛丽·凯特·马拉特 / 迈克尔·本茨 / 莎珑·华盛顿 / 桑德拉·詹姆斯 / 托尼·赫德 / 曼德拉·贝拉米 / 乔·奥克曼 / 卡尔·伦德施泰特 / 米克·奥罗克 / 大卫·吉布森 / 伊万·罗萨多 / 安妮·比萨比亚 / 布莱斯·科里根 / 乔恩·道格拉斯·雷尼 / 艾恩斯利·丹恩 / 杰森·约翰·奇卡莱塞,剧情 / 惊悚 / 犯罪,www.jokermovie.net,美国 / 加拿大,英语,2019-08-31(威尼斯电影节) / 2019-10-04(美国)
背靠背，脸对脸,1994,9.5,129141,黄建新 / 杨亚洲,黄建新 / 孙毅安 / 刘醒龙,牛振华 / 雷恪生 / 李强 / 句号 / 王劲松 / 戈治均 / 佘南南 / 张嘉益 / 刘国祥 / 徐学政 / 林海海 / 温谦 / 马载军 / 吴玮玲 / 张艺 / 韩炳杰 / 杨亚洲,剧情,中国大陆 / 中国香港,汉语普通话,1994-09-10(多伦多电影节),148分钟 / 205分钟(电视剧加长版)
无敌破坏王,2012,8.7,529771,瑞奇·摩尔,菲尔·约翰斯顿 / 珍妮弗·李 / 瑞奇·摩尔 / 吉姆·里尔顿 / 约翰·C·赖利 / 山姆·J·莱文 / 贾里德·斯特恩,约翰·C·赖利 / 萨拉·西尔弗曼 / 杰克·麦克布瑞尔 / 简·林奇 / 艾伦·图代克 / 敏迪·卡灵 / 乔·洛·特鲁格里奥 / 艾德·奥尼尔 / 丹尼斯·海斯伯特 / 伊迪·麦克勒格 / 雷蒙德·S·佩尔西 / 杰斯·哈梅尔 / 瑞秋·哈里斯 / 斯盖拉·阿斯丁 / 亚当·卡罗拉 / 霍拉提奥·桑斯 / 莫里斯·拉马奇 / 斯戴芬妮·斯考特 / 约翰·迪·马吉欧 / 瑞奇·摩尔 / 凯蒂·洛斯 / 贾米·埃曼 / 乔西·特立尼达 / 辛贝·沃克 / 塔克·吉莫尔 / 布兰登·斯考特 / 蒂姆·梅尔滕斯 / 凯文·迪特斯 / 杰洛·里佛斯 / 马丁·贾维斯 / 布莱恩·克辛格 / 罗杰·克莱格·史密斯 / 菲尔·约翰斯顿 / 鲁本·兰登 / 凯尔·赫伯特 / 洁米·斯贝勒·罗伯茨 / 尼克·格里姆肖,喜剧 / 动画 / 奇幻 / 冒险,美国,英语,2012-11-06(中国大陆) / 2012-11-02(美国),101分钟
无间道2,2003,8.7,470050,刘伟强 / 麦兆辉,麦兆辉 / 庄文强,陈冠希 / 余文乐 / 曾志伟 / 黄秋生 / 吴镇宇 / 刘嘉玲 / 胡军 / 张耀扬 / 连凯 / 惠英红 / 廖启智 / 张同祖 / 方平 / 敖志君 / 黄岳泰 / 陈德森 / 赵颂茹 / 叶世品 / 郑斌辉 / 许金峰 / 陈望华 / 尹志强 / 傅嘉莉 / 段伟伦 / 林仲岐 / 金来群 / 黄锐生 / 张碧珊 / 刘宗基 / 王文成 / 张旭燊 / 林国杰 / 雷小明 / 里卡多·马姆多 / 布兰登·雷亚 / 李霆锋 / 阎青妤 / 龙比意 / Phorjeat Keanpetch / 杜汶泽,剧情 / 惊悚 / 犯罪,中国香港,粤语 / 英语 / 汉语普通话 / 泰语,2003-10-17(中国大陆) / 2003-10-01(中国香港),119分钟 / 110 分钟(德国电视版)
贫民窟的百万富翁,2008,8.6,737492,丹尼·博伊尔 / 洛芙琳·坦丹,西蒙·博福伊 / 维卡斯·史瓦卢普,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普 / 拉詹德拉纳斯·祖特施 / 吉尼瓦·塔瓦尔 / 芙蕾达·平托 / 伊尔凡·可汗 / 爱资哈尔丁·穆罕默德·伊斯梅尔 / 阿什·马赫什·舍德卡 / 马赫什·曼杰瑞卡 / 麦活·米泰尔,剧情 / 爱情,www.foxsearchlight.com/slumdogmillionaire/,英国,英语 / 印地语 / 法语 / 德语,2009-03-26(中国大陆) / 2008-08-30(特柳赖德电影节) / 2009-01-09(英国)
冰川时代,2002,8.6,604926,卡洛斯·沙尔丹哈 / 克里斯·韦奇,迈克尔·伯格  / 迈克尔·J·威尔森 / 彼得·阿克曼,雷·罗马诺 / 约翰·雷吉扎莫 / 丹尼斯·利瑞 / 杰克·布莱克,喜剧 / 动画 / 冒险,美国,英语 / 克罗地亚语,2002-03-15(美国),81分钟
东邪西毒,1994,8.6,570490,王家卫,王家卫 / 金庸,张国荣 / 林青霞 / 梁朝伟 / 张学友 / 张曼玉 / 刘嘉玲 / 梁家辉 / 杨采妮 / 邹兆龙,剧情 / 动作 / 爱情 / 武侠 / 古装,中国香港 / 中国台湾,粤语 / 汉语普通话,1994-09-17(中国大陆) / 1994-09-12(威尼斯电影节),95分钟
心灵奇旅,2020,8.7,963424,彼特·道格特 / 凯普·鲍尔斯,彼特·道格特 / 麦克·琼斯 / 凯普·鲍尔斯,杰米·福克斯 / 蒂娜·菲 / 菲利西亚·拉斯海德 / 阿米尔-卡利布·汤普森 / 戴维德·迪格斯 / 格拉汉姆·诺顿 / 瑞切尔·豪斯 / 艾莉丝·布拉加 / 理查德·艾欧阿德 / 唐尼尔·罗林斯 / 安吉拉·贝塞特 / 马戈·霍尔 / 罗德莎·琼斯 / 韦斯·斯塔迪 / 沙基纳·贾弗里 / 福琼·费姆斯特 / 卡鲁姆·格兰特 / 泽诺比娅·谢罗夫 / 朱恩·斯奎布 / 凯茜·卡瓦蒂妮 / 罗纳尔多·德尔·卡门 / 埃利萨皮·艾萨克 / 杰森·佩斯 / 科拉·尚波米耶,动画 / 音乐 / 奇幻,https://movies.disney.com/soul,美国,英语,2020-12-25(中国大陆/美国网络) / 2020-10-11(伦敦电影节)
恐怖游轮,2009,8.5,848613,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治 / 利亚姆·海姆斯沃斯 / 迈克尔·多曼 / 瑞秋·卡帕尼 / 艾玛·朗 / 亨利·尼克松 / 约书亚·麦基弗,剧情 / 悬疑 / 惊悚,英国 / 澳大利亚,英语,2009-10-16(英国),99 分钟
牯岭街少年杀人事件,1991,8.9,294328,杨德昌,杨德昌 / 赖铭堂 / 杨顺清 / 鸿鸿,张震 / 杨静怡 / 张国柱 / 王启赞 / 林鸿铭 / 金燕玲 / 王琄 / 张翰 / 姜秀琼 / 赖梵耘 / 柯宇纶 / 谭志刚 / 冯国强 / 陈湘琪 / 金士杰,剧情 / 犯罪,中国台湾,汉语普通话 / 闽南语 / 上海话 / 粤语,1991-07-27(中国台湾),237分钟(导演剪辑版)
遗愿清单,2007,8.7,453228,罗伯·莱纳,贾斯汀·扎克汉姆,杰克·尼科尔森 / 摩根·弗里曼 / 西恩·海耶斯 / 贝弗利·陶德 / 罗伯·莫洛 / 阿方索·弗里曼 / 罗文娜·金 / 韦尔达·布里奇斯 / 伊恩·安东尼·代尔 / 詹妮弗·迪弗朗西斯科 / 安吉拉·加德纳 / 诺尔·古格雷米 / 乔纳森·赫尔南德斯 / 休·B·赫鲁伯 / 理查德·麦克格纳格尔 / 丸山凯伦 / 安波米德 / 尼基·诺瓦克 / 克里斯托弗·斯塔普勒顿 / 泰勒.安.汤普森 / 亚历克斯·崔贝克 / Annton Berry Jr. / Destiny Brownridge / Brian Copeland / 乔丹·朗德 / Jonathan Mangum / Serena Reeder / MaShae Alderman / Vin Scully,剧情 / 喜剧 / 冒险,美国,英语,2007-12-25(多伦多电影节) / 2008-01-11(美国),97 分钟
魔女宅急便,1989,8.7,452937,宫崎骏,宫崎骏 / 角野荣子,高山南 / 佐久间玲 / 户田惠子 / 山口胜平 / 信泽三惠子 / 加藤治子 / 关弘子 / 三浦浩一 / 山寺宏一 / 井上喜久子 / 渊崎由里子 / 土井美加 / 土师孝也 / 浅井淑子 / 齐藤昌 / 西村知道 / 小林优子 / 池水通洋 / 辻亲八 / 大塚明夫 / 坂本千夏 / 田口昂 / 键本景子 / 津贺有子 / 龟井芳子 / 丸山裕子,动画 / 奇幻 / 冒险,日本,日语,1989-07-29(日本),103分钟
真爱至上,2003,8.6,725071,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特 / 科林·费尔斯 / 艾玛·汤普森 / 凯拉·奈特莉 / 连姆·尼森 / 托马斯·布罗迪-桑斯特 / 比尔·奈伊 / 马丁·弗瑞曼 / 劳拉·琳妮 / 艾伦·瑞克曼 / 克里斯·马歇尔 / 罗德里戈·桑托罗 / 罗温·艾金森 / 比利·鲍伯·松顿 / 玛汀·麦古基安 / 安德鲁·林肯 / 露西娅·莫尼斯 / 海克·玛卡琪,剧情 / 喜剧 / 爱情,www.loveactually.com/,英国 / 美国 / 法国,英语 / 葡萄牙语 / 法语,2003-09-07(多伦多电影节) / 2003-11-06(美国) / 2003-11-21(英国)
你看起来好像很好吃,2010,8.9,329015,藤森雅也,村上修 / 神野博明 / 宫西达也,山口胜平 / 爱河里花子 / 加藤清史郎 / 原田知世 / 川岛得爱 / 折笠富美子 / 桐本拓哉 / 别所哲也 / 矢田稔 / 川村万梨阿 / 高乃丽 / 小室正幸 / 江川央生 / 志村知幸 / 胜沼纪义 / 井田国男 / 宫西达也 / 宫西美奈子,剧情 / 动画 / 儿童,日本,日语,2010-10-16(日本),90分钟
